State,Grade,Date Announced,Effective Date
Alabama,C,2020-04-03,2020-04-04
Alaska,C+,2020-03-27,2020-03-28
Arizona,C+,2020-03-30,2020-03-31
Arkansas,D,,
California,B,2020-03-19,2020-03-19
Colorado,B-,2020-03-26,2020-03-26
Connecticut,C-,2020-03-20,2020-03-23
Delaware,C,2020-03-22,2020-03-24
Florida,C-,2020-04-01,2020-04-03
Georgia,C,2020-04-02,2020-04-03
Hawaii,B-,2020-03-23,2020-03-25
Idaho,C-,2020-03-25,2020-03-25
Illinois,C-,2020-03-20,2020-03-21
Indiana,D+,2020-03-23,2020-03-24
Iowa,C-,,
Kansas,C-,2020-03-28,2020-03-30
Kentucky,C-,2020-03-22,2020-03-26
Louisiana,C,2020-03-22,2020-03-23
Maine,C-,2020-03-31,2020-04-02
Maryland,C,2020-03-30,2020-03-30
Massachusetts,C,2020-03-23,2020-03-24
Michigan,B,2020-03-23,2020-03-24
Minnesota,C+,2020-03-25,2020-03-27
Mississippi,B-,2020-03-31,2020-04-03
Missouri,D+,2020-04-03,2020-04-06
Montana,C,2020-03-26,2020-03-28
Nebraska,D+,,
Nevada,A-,2020-04-01,2020-04-01
New Hampshire,C-,2020-03-26,2020-03-27
New Jersey,C,2020-03-20,2020-03-21
New Mexico,B-,2020-03-23,2020-03-24
New York,C+,2020-03-20,2020-03-22
North Carolina,D+,2020-03-27,2020-03-30
North Dakota,B-,,
Ohio,D+,2020-03-22,2020-03-23
Oklahoma,D,,
Oregon,C+,2020-03-23,2020-03-23
Pennsylvania,C,2020-03-23,2020-04-01
Rhode Island,D+,2020-03-28,2020-03-28
South Carolina,D+,2020-04-06,2020-04-07
South Dakota,C+,,
Tennessee,D+,2020-03-30,2020-03-31
Texas,C-,2020-03-31,2020-04-02
Utah,C,,
Vermont,B-,2020-03-24,2020-03-25
Virginia,D+,2020-03-30,2020-03-30
Washington,C+,2020-03-23,2020-03-23
West Virginia,D+,2020-03-23,2020-03-24
Wisconsin,C+,2020-03-24,2020-03-25
Wyoming,D+,,